Product,Reactant,Rxn
CC1=CC=C(C=C1C1=CC=CN=C1)C1=NN=C(O1)C1=CC(=C(C)C=C1)C1=CN=CC=C1,[Cd++].[N-]=[N+]=[N-].CC1=CC=C(C=C1C1=CC=CN=C1)C1=NN=C(O1)C1=CC(=C(C)C=C1)C1=CN=CC=C1.O=N(=O)C1=CC=CC=C1.CC1=CC=C(C=C1C1=CC=CN=C1)C1=NN=C(O1)C1=CC(=C(C)C=C1)C1=CN=CC=C1.O=N(=O)C1=CC=CC=C1,[Cd++].[N-]=[N+]=[N-].CC1=CC=C(C=C1C1=CC=CN=C1)C1=NN=C(O1)C1=CC(=C(C)C=C1)C1=CN=CC=C1.O=N(=O)C1=CC=CC=C1.CC1=CC=C(C=C1C1=CC=CN=C1)C1=NN=C(O1)C1=CC(=C(C)C=C1)C1=CN=CC=C1.O=N(=O)C1=CC=CC=C1>>CC1=CC=C(C=C1C1=CC=CN=C1)C1=NN=C(O1)C1=CC(=C(C)C=C1)C1=CN=CC=C1
C=CC1=CC2=CC=CC=[N+]2C=C1,[Br-].C=CC1=CC2=CC=CC=[N+]2C=C1.[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Br-].C=CC1=CC2=CC=CC=[N+]2C=C1.[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>C=CC1=CC2=CC=CC=[N+]2C=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Br-].C=CC1=CC2=CC=CC=[N+]2C=C1.[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Br-].C=CC1=CC2=CC=CC=[N+]2C=C1.[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCCOP(OCCC)OCCC.COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCCOP(OCCC)OCCC.COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CCCO[P+](OCCC)(OCCC)C1C(C=C(C(OC)=C1N(=O)=O)N(=O)=O)=N([O-])=O,CCCOP(OCCC)OCCC.COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCCOP(OCCC)OCCC.COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CCCO[P+](OCCC)(OCCC)C1C(C=C(C(OC)=C1N(=O)=O)N(=O)=O)=N([O-])=O
CCNC(=O)C1=CC=C(O1)C(=O)NC(N)=N,CCNC(=O)C1=CC=C(O1)C(=O)OC,CCNC(=O)C1=CC=C(O1)C(=O)OC>>CCNC(=O)C1=CC=C(O1)C(=O)NC(N)=N
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCNC(=O)C1=CC=C(O1)C(=O)OC,CCNC(=O)C1=CC=C(O1)C(=O)OC>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O=N(=O)C1=CC(=CC=C1)N(=O)=O,S1C=CN=C1.O=N(=O)C1=CC(=CC=C1)N(=O)=O,S1C=CN=C1.O=N(=O)C1=CC(=CC=C1)N(=O)=O>>O=N(=O)C1=CC(=CC=C1)N(=O)=O
OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OC(=O)C1=C(O)C=C(O)C=C1.ON(=O)=O,OC(=O)C1=C(O)C=C(O)C=C1.ON(=O)=O>>OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
OC(=O)C1=CC(=C(O)C=C1O)N(=O)=O,OC(=O)C1=C(O)C=C(O)C=C1.ON(=O)=O,OC(=O)C1=C(O)C=C(O)C=C1.ON(=O)=O>>OC(=O)C1=CC(=C(O)C=C1O)N(=O)=O
O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O.CCCC[N]1=CC2=CC=C3C=CC=CC3=C2[O-][Cu++]11[O-]C2=C3C=CC=CC3=CC=C2C=[N]1CCCC.O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O.CCCC[N]1=CC2=CC=C3C=CC=CC3=C2[O-][Cu++]11[O-]C2=C3C=CC=CC3=CC=C2C=[N]1CCCC.O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O>>O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O
CCCC[N]1=CC2=CC=C3C=CC=CC3=C2[O-][Cu++]11[O-]C2=C3C=CC=CC3=CC=C2C=[N]1CCCC,O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O.CCCC[N]1=CC2=CC=C3C=CC=CC3=C2[O-][Cu++]11[O-]C2=C3C=CC=CC3=CC=C2C=[N]1CCCC.O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O,O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O.CCCC[N]1=CC2=CC=C3C=CC=CC3=C2[O-][Cu++]11[O-]C2=C3C=CC=CC3=CC=C2C=[N]1CCCC.O=N(=O)C1=CC(=CC(=C1)N(=O)=O)N(=O)=O>>CCCC[N]1=CC2=CC=C3C=CC=CC3=C2[O-][Cu++]11[O-]C2=C3C=CC=CC3=CC=C2C=[N]1CCCC
O=N(=O)C1=CC=CC=C1,ClCCl.COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N.C1CCOC1.FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1.O=N(=O)C1=CC=CC=C1,ClCCl.COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N.C1CCOC1.FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1.O=N(=O)C1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N,ClCCl.COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N.C1CCOC1.FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1.O=N(=O)C1=CC=CC=C1,ClCCl.COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N.C1CCOC1.FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1.O=N(=O)C1=CC=CC=C1>>COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N
FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,ClCCl.COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N.C1CCOC1.FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1.O=N(=O)C1=CC=CC=C1,ClCCl.COC1=CC(=C(C#N)C#N)C(OC)=CC1=C(C#N)C#N.C1CCOC1.FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1.O=N(=O)C1=CC=CC=C1>>FC1=CC=C(C=C1)C1=[O][Rh++]234[O-]C(=[O][Rh++]2([O-]1)([O-]C(=[O]3)C1=CC=C(F)C=C1)[O]=C([O-]4)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1.O=C1NCC2=CC=C(CNC(=O)C3=CC=CC(=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1.O=C1NCC2=CC=C(CNC(=O)C3=CC=CC(=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1,O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1.O=C1NCC2=CC=C(CNC(=O)C3=CC=CC(=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1.O=C1NCC2=CC=C(CNC(=O)C3=CC=CC(=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1
O=C1NCC2=CC=C(CNC(=O)C3=CC(=CC=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2,O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1.O=C1NCC2=CC=C(CNC(=O)C3=CC=CC(=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(CC(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=CC(NC(=O)CC(C2=CC=CC=C2)C2=CC=CC=C2)=N1.O=C1NCC2=CC=C(CNC(=O)C3=CC=CC(=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>O=C1NCC2=CC=C(CNC(=O)C3=CC(=CC=C3)C(=O)NCC3=CC=C(CNC(=O)C4=CC=CC1=C4)C=C3)C=C2
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.CCOC(=O)[C@@H]1[C@@H](C)[C@@H](N[C@@H]1C1=CC=CC=C1)P(=O)(OCC)OCC,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.CCOC(=O)[C@@H]1[C@@H](C)[C@@H](N[C@@H]1C1=CC=CC=C1)P(=O)(OCC)OCC>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CCOC(=O)[C@H]1[C@@H](C)[C@@H](N[C@@H]1C1=CC=CC=C1)P(=O)(OCC)OCC,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.CCOC(=O)[C@@H]1[C@@H](C)[C@@H](N[C@@H]1C1=CC=CC=C1)P(=O)(OCC)OCC,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.CCOC(=O)[C@@H]1[C@@H](C)[C@@H](N[C@@H]1C1=CC=CC=C1)P(=O)(OCC)OCC>>CCOC(=O)[C@H]1[C@@H](C)[C@@H](N[C@@H]1C1=CC=CC=C1)P(=O)(OCC)OCC
O=[S@]1CCC[S@](=O)C1,[Lu+3].[H]O[H].[H]C1=C(C([O-])=C(C([H])=C1N(=O)=O)N(=O)=O)N(=O)=O.O=[S@]1CCC[S@](=O)C1,[Lu+3].[H]O[H].[H]C1=C(C([O-])=C(C([H])=C1N(=O)=O)N(=O)=O)N(=O)=O.O=[S@]1CCC[S@](=O)C1>>O=[S@]1CCC[S@](=O)C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Lu+3].[H]O[H].[H]C1=C(C([O-])=C(C([H])=C1N(=O)=O)N(=O)=O)N(=O)=O.O=[S@]1CCC[S@](=O)C1,[Lu+3].[H]O[H].[H]C1=C(C([O-])=C(C([H])=C1N(=O)=O)N(=O)=O)N(=O)=O.O=[S@]1CCC[S@](=O)C1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CS(O)(=O)=O.CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CS(O)(=O)=O.CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,CS(O)(=O)=O.CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CS(O)(=O)=O.CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1
CC1=CC=C(O)C=C1,N#N=NC1=CC=CC=C1,N#N=NC1=CC=CC=C1>>CC1=CC=C(O)C=C1
[H]C(=O)C1=CC=CC=C1,N#N=NC1=CC=CC=C1,N#N=NC1=CC=CC=C1>>[H]C(=O)C1=CC=CC=C1
CC1=CC=CC(O)=C1,N#N=NC1=CC=CC=C1,N#N=NC1=CC=CC=C1>>CC1=CC=CC(O)=C1
CC1=C(O)C=CC=C1,N#N=NC1=CC=CC=C1,N#N=NC1=CC=CC=C1>>CC1=C(O)C=CC=C1
O=N(=O)C1=CC=CC=C1,N#N=NC1=CC=CC=C1,N#N=NC1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
OCC1=CC=CC=C1,N#N=NC1=CC=CC=C1,N#N=NC1=CC=CC=C1>>OCC1=CC=CC=C1
O=N(=O)C1=CC=CC=C1,[H]O[H].ClB(Cl)Cl.O=N(=O)C1=CC=CC=C1,[H]O[H].ClB(Cl)Cl.O=N(=O)C1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
O=N(=O)C1=CC=CC=C1C1=C(C=CC=C1)N(=O)=O,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O>>O=N(=O)C1=CC=CC=C1C1=C(C=CC=C1)N(=O)=O
O1C2=C(C=CC=C2)N=C1C1=NC2=C(O1)C=CC=C2,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O>>O1C2=C(C=CC=C2)N=C1C1=NC2=C(O1)C=CC=C2
O=N(=O)C1=CC=CC=C1,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O>>O=N(=O)C1=CC=CC=C1
O=N(=O)C1=CC=CC=C1C1=NC2=C(O1)C=CC=C2,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O,O1C=NC2=C1C=CC=C2.OC(=O)C1=CC=CC=C1N(=O)=O>>O=N(=O)C1=CC=CC=C1C1=NC2=C(O1)C=CC=C2
NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H],O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H]>>NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
NC(=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H],O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H]>>NC(=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
OC(=O)C(O)=O,O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H],O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H]>>OC(=O)C(O)=O
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H],O=C(NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)C(=O)NC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]N([H])[H]>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[I-].COC1=CC=C(C=C1)[P+](C)(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[I-].COC1=CC=C(C=C1)[P+](C)(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
COC1=CC=C(C=C1)[P+](C)(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[I-].COC1=CC=C(C=C1)[P+](C)(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[I-].COC1=CC=C(C=C1)[P+](C)(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1>>COC1=CC=C(C=C1)[P+](C)(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=S1CCCC1.[Eu+3].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.O=S1CCCC1.O=S1CCCC1,O=S1CCCC1.[Eu+3].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.O=S1CCCC1.O=S1CCCC1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O=N(=O)C1=CC(=CC=C1)N(=O)=O,F[B](F)(F)F.O=N(=O)C1=CC(=CC=C1)[N+]#N,F[B](F)(F)F.O=N(=O)C1=CC(=CC=C1)[N+]#N>>O=N(=O)C1=CC(=CC=C1)N(=O)=O
[NH2+]C1=C(C=CC=C1)N(=O)=O,NC1=C(C=CC=C1)N(=O)=O.NC1=C(C=CC=C1)N(=O)=O,NC1=C(C=CC=C1)N(=O)=O.NC1=C(C=CC=C1)N(=O)=O>>[NH2+]C1=C(C=CC=C1)N(=O)=O
O=N(=O)C1=CC=CC=[C]1,NC1=C(C=CC=C1)N(=O)=O.NC1=C(C=CC=C1)N(=O)=O,NC1=C(C=CC=C1)N(=O)=O.NC1=C(C=CC=C1)N(=O)=O>>O=N(=O)C1=CC=CC=[C]1
NC1=CC=C(N)C=C1,CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.NC1=CC=C(N)C=C1,CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.NC1=CC=C(N)C=C1>>NC1=CC=C(N)C=C1
CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.NC1=CC=C(N)C=C1,CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.NC1=CC=C(N)C=C1>>CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
NC1=CC=[N+](C=C1)C(=O)OC1=CC=C(Cl)C=C1,NC1=CC=NC=C1.ClC1=CC=C(OC(=O)OC2=C(C=C(C=C2N(=O)=O)N(=O)=O)N(=O)=O)C=C1,NC1=CC=NC=C1.ClC1=CC=C(OC(=O)OC2=C(C=C(C=C2N(=O)=O)N(=O)=O)N(=O)=O)C=C1>>NC1=CC=[N+](C=C1)C(=O)OC1=CC=C(Cl)C=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,NC1=CC=NC=C1.ClC1=CC=C(OC(=O)OC2=C(C=C(C=C2N(=O)=O)N(=O)=O)N(=O)=O)C=C1,NC1=CC=NC=C1.ClC1=CC=C(OC(=O)OC2=C(C=C(C=C2N(=O)=O)N(=O)=O)N(=O)=O)C=C1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O=C1NC(=[15N][15NH]1)N(=O)=O,O=C1NC=[15N][15NH]1,O=C1NC=[15N][15NH]1>>O=C1NC(=[15N][15NH]1)N(=O)=O
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC1=CC=C(C=C1)S(=O)(=O)N1C=C(I)C2=C(C=CC=C12)C#N,CC1=CC=C(C=C1)S(=O)(=O)N1C=C(I)C2=C(C=CC=C12)C#N>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CC1=CC=C(C=C1)S(=O)(=O)N1C=C(C2=C(C=CC=C12)C(N)=N)C1=CC=C(CCl)C=C1,CC1=CC=C(C=C1)S(=O)(=O)N1C=C(I)C2=C(C=CC=C12)C#N,CC1=CC=C(C=C1)S(=O)(=O)N1C=C(I)C2=C(C=CC=C12)C#N>>CC1=CC=C(C=C1)S(=O)(=O)N1C=C(C2=C(C=CC=C12)C(N)=N)C1=CC=C(CCl)C=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,Cl[Sb](Cl)(Cl)(Cl)(Cl)Cl.[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=[N+]=NC(=O)OCC)[C@H](C)CCCC(C)C,Cl[Sb](Cl)(Cl)(Cl)(Cl)Cl.[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=[N+]=NC(=O)OCC)[C@H](C)CCCC(C)C>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC5=NC(=NN5CC[C@]4(C)[C@@]3([H])CC[C@]12C)C1=CC=CC=C1)[C@H](C)CCCC(C)C,Cl[Sb](Cl)(Cl)(Cl)(Cl)Cl.[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=[N+]=NC(=O)OCC)[C@H](C)CCCC(C)C,Cl[Sb](Cl)(Cl)(Cl)(Cl)Cl.[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=[N+]=NC(=O)OCC)[C@H](C)CCCC(C)C>>[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC5=NC(=NN5CC[C@]4(C)[C@@]3([H])CC[C@]12C)C1=CC=CC=C1)[C@H](C)CCCC(C)C
CC1=NN(N)N=N1,[Cu++].[O-]C([O-])=O.OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]O[H].CC1=NN(N)N=N1,[Cu++].[O-]C([O-])=O.OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]O[H].CC1=NN(N)N=N1>>CC1=NN(N)N=N1
[O-]C1=C(C([O-])=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Cu++].[O-]C([O-])=O.OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]O[H].CC1=NN(N)N=N1,[Cu++].[O-]C([O-])=O.OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.[H]O[H].CC1=NN(N)N=N1>>[O-]C1=C(C([O-])=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
COC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,ON(=O)=O.CC(=O)OC(C)=O.COC1=CC=C(C=C1)C(=O)C(=O)C1=CC=C(OC)C=C1,ON(=O)=O.CC(=O)OC(C)=O.COC1=CC=C(C=C1)C(=O)C(=O)C1=CC=C(OC)C=C1>>COC1=C(C=C(C=C1)N(=O)=O)N(=O)=O
COC1=C(C=C(C=C1N(=O)=O)C(=O)C(=O)C1=CC(=C(OC)C(=C1)N(=O)=O)N(=O)=O)N(=O)=O,ON(=O)=O.CC(=O)OC(C)=O.COC1=CC=C(C=C1)C(=O)C(=O)C1=CC=C(OC)C=C1,ON(=O)=O.CC(=O)OC(C)=O.COC1=CC=C(C=C1)C(=O)C(=O)C1=CC=C(OC)C=C1>>COC1=C(C=C(C=C1N(=O)=O)C(=O)C(=O)C1=CC(=C(OC)C(=C1)N(=O)=O)N(=O)=O)N(=O)=O
