nohup: ignoring input
Starting......
total length:  5000
( 364  /  5000 )...... Spent time: 6.5416646003723145
( 365  /  5000 )...... Spent time: 8.584808349609375
( 366  /  5000 )...... Spent time: 9.087578058242798
( 367  /  5000 )...... Spent time: 3.9923300743103027
( 368  /  5000 )...... Spent time: 5.630944728851318
( 369  /  5000 )...... Spent time: 5.018401861190796
( 370  /  5000 )...... Spent time: 5.283587455749512
( 371  /  5000 )...... Spent time: 4.644226789474487
( 372  /  5000 )...... Spent time: 4.523481130599976
( 373  /  5000 )...... Spent time: 7.0087597370147705
( 374  /  5000 )...... Spent time: 5.324061155319214
( 375  /  5000 )...... Spent time: 6.48927903175354
( 376  /  5000 )...... Spent time: 5.431062698364258
( 377  /  5000 )...... Spent time: 4.687225341796875
( 378  /  5000 )...... Spent time: 5.493729591369629
( 379  /  5000 )...... Spent time: 4.015751838684082
( 380  /  5000 )...... Spent time: 6.863440990447998
( 381  /  5000 )...... Spent time: 7.152940988540649
( 382  /  5000 )...... Spent time: 4.871031045913696
( 383  /  5000 )...... Spent time: 4.300262928009033
( 384  /  5000 )...... Spent time: 6.970008611679077
( 385  /  5000 )...... Spent time: 7.9610679149627686
( 386  /  5000 )...... Spent time: 8.050930261611938
( 387  /  5000 )...... Spent time: 5.101231813430786
( 388  /  5000 )...... Spent time: 4.704614162445068
( 389  /  5000 )...... Spent time: 7.1766674518585205
( 390  /  5000 )...... Spent time: 5.425079345703125
( 391  /  5000 )...... Spent time: 4.830044746398926
( 392  /  5000 )...... Spent time: 5.958496809005737
( 393  /  5000 )...... Spent time: 6.193238735198975
( 394  /  5000 )...... Spent time: 5.57072114944458
( 395  /  5000 )...... Spent time: 4.882747650146484
( 396  /  5000 )...... Spent time: 5.778851270675659
( 397  /  5000 )...... Spent time: 6.364939451217651
( 398  /  5000 )...... Spent time: 8.219882249832153
( 399  /  5000 )...... Spent time: 4.672919511795044
( 400  /  5000 )...... Spent time: 5.349114894866943
( 401  /  5000 )...... Spent time: 4.516700983047485
( 402  /  5000 )...... Spent time: 4.721291542053223
( 403  /  5000 )...... Spent time: 7.47606086730957
( 404  /  5000 )...... Spent time: 5.742568016052246
( 405  /  5000 )...... Spent time: 5.569955825805664
( 406  /  5000 )...... Spent time: 6.47807240486145
( 407  /  5000 )...... Spent time: 5.381165981292725
( 408  /  5000 )...... Spent time: 5.7250330448150635
( 409  /  5000 )...... Spent time: 6.6941540241241455
( 410  /  5000 )...... Spent time: 4.17132043838501
( 411  /  5000 )...... Spent time: 5.738627910614014
( 412  /  5000 )...... Spent time: 7.8202805519104
( 413  /  5000 )...... Spent time: 4.685237169265747
( 414  /  5000 )...... Spent time: 5.9524877071380615
( 415  /  5000 )...... Spent time: 5.999371767044067
( 416  /  5000 )...... Spent time: 6.004748582839966
( 417  /  5000 )...... Spent time: 7.6747307777404785
( 418  /  5000 )...... Spent time: 6.4789206981658936
( 419  /  5000 )...... Spent time: 6.20787501335144
( 420  /  5000 )...... Spent time: 6.179833889007568
( 421  /  5000 )...... Spent time: 4.796189785003662
( 422  /  5000 )...... Spent time: 4.298095703125
( 423  /  5000 )...... Spent time: 5.096540451049805
( 424  /  5000 )...... Spent time: 5.701377630233765
( 425  /  5000 )...... Spent time: 4.794857740402222
( 426  /  5000 )...... Spent time: 6.483079433441162
( 427  /  5000 )...... Spent time: 4.417540550231934
( 428  /  5000 )...... Spent time: 5.314808130264282
( 429  /  5000 )...... Spent time: 5.438853740692139
( 430  /  5000 )...... Spent time: 8.555334091186523
( 431  /  5000 )...... Spent time: 6.7164716720581055
( 432  /  5000 )...... Spent time: 4.984486103057861
( 433  /  5000 )...... Spent time: 4.6975390911102295
( 434  /  5000 )...... Spent time: 7.490893602371216
( 435  /  5000 )...... Spent time: 7.285547256469727
( 436  /  5000 )...... Spent time: 4.690032720565796
( 437  /  5000 )...... Spent time: 7.594774007797241
( 438  /  5000 )...... Spent time: 4.4143288135528564
( 439  /  5000 )...... Spent time: 4.999502420425415
( 440  /  5000 )...... Spent time: 4.089104652404785
( 441  /  5000 )...... Spent time: 7.45139217376709
( 442  /  5000 )...... Spent time: 4.898463010787964
( 443  /  5000 )...... Spent time: 6.088306188583374
( 444  /  5000 )...... Spent time: 5.3579418659210205
( 445  /  5000 )...... Spent time: 5.310745477676392
( 446  /  5000 )...... Spent time: 5.308588981628418
( 447  /  5000 )...... Spent time: 5.535547733306885
( 448  /  5000 )...... Spent time: 8.782955884933472
( 449  /  5000 )...... Spent time: 5.498265743255615
( 450  /  5000 )...... Spent time: 4.6054909229278564
( 451  /  5000 )...... Spent time: 6.886443138122559
( 452  /  5000 )...... Spent time: 5.663088083267212
( 453  /  5000 )...... Spent time: 6.307192325592041
( 454  /  5000 )...... Spent time: 6.218858003616333
( 455  /  5000 )...... Spent time: 6.720117092132568
( 456  /  5000 )...... Spent time: 5.24686074256897
( 457  /  5000 )...... Spent time: 5.634989023208618
( 458  /  5000 )...... Spent time: 4.355393409729004
( 459  /  5000 )...... Spent time: 6.26794171333313
( 460  /  5000 )...... Spent time: 4.7529003620147705
( 461  /  5000 )...... Spent time: 4.771007061004639
( 462  /  5000 )...... Spent time: 5.557275056838989
( 463  /  5000 )...... Spent time: 4.702118158340454
( 464  /  5000 )...... Spent time: 4.837100267410278
( 465  /  5000 )...... Spent time: 5.830756902694702
( 466  /  5000 )...... Spent time: 4.541829586029053
( 467  /  5000 )...... Spent time: 5.3468334674835205
( 468  /  5000 )...... Spent time: 6.67567777633667
( 469  /  5000 )...... Spent time: 4.3928000926971436
( 470  /  5000 )...... Spent time: 5.883017063140869
( 471  /  5000 )...... Spent time: 5.833554267883301
( 472  /  5000 )...... Spent time: 4.181353807449341
( 473  /  5000 )...... Spent time: 6.0931477546691895
( 474  /  5000 )...... Spent time: 6.082923650741577
( 475  /  5000 )...... Spent time: 5.0699357986450195
( 476  /  5000 )...... Spent time: 5.449919700622559
( 477  /  5000 )...... Spent time: 5.315505504608154
( 478  /  5000 )...... Spent time: 6.440660238265991
( 479  /  5000 )...... Spent time: 7.549993515014648
( 480  /  5000 )...... Spent time: 5.791285037994385
( 481  /  5000 )...... Spent time: 7.889221668243408
( 482  /  5000 )...... Spent time: 6.983230113983154
( 483  /  5000 )...... Spent time: 6.001884460449219
( 484  /  5000 )...... Spent time: 4.545570611953735
( 485  /  5000 )...... Spent time: 4.327822923660278
( 486  /  5000 )...... Spent time: 7.420769929885864
( 487  /  5000 )...... Spent time: 5.57193922996521
( 488  /  5000 )...... Spent time: 5.050066947937012
( 489  /  5000 )...... Spent time: 6.211391925811768
( 490  /  5000 )...... Spent time: 5.8252904415130615
( 491  /  5000 )...... Spent time: 3.937455892562866
( 492  /  5000 )...... Spent time: 4.6498847007751465
( 493  /  5000 )...... Spent time: 6.66236138343811
( 494  /  5000 )...... Spent time: 4.616515636444092
( 495  /  5000 )...... Spent time: 4.730211019515991
( 496  /  5000 )...... Spent time: 6.8460540771484375
( 497  /  5000 )...... Spent time: 8.730211973190308
( 498  /  5000 )...... Spent time: 5.784199476242065
( 499  /  5000 )...... Spent time: 5.730022192001343
( 500  /  5000 )...... Spent time: 5.945923805236816
( 501  /  5000 )...... Spent time: 5.765011548995972
10 %,  mean_accuracy: [0.37325349 0.47305389 0.53293413 0.57884232 0.61077844 0.63672655
 0.66267465 0.67265469 0.68862275 0.69261477 0.69860279 0.70259481
 0.70858283 0.71057884 0.71257485 0.72255489 0.72654691 0.73053892
 0.73453094 0.73652695]
( 502  /  5000 )...... Spent time: 6.158838510513306
( 503  /  5000 )...... Spent time: 4.840167045593262
( 504  /  5000 )...... Spent time: 6.236260890960693
( 505  /  5000 )...... Spent time: 8.72118067741394
( 506  /  5000 )...... Spent time: 8.083115100860596
( 507  /  5000 )...... Spent time: 5.417079448699951
( 508  /  5000 )...... Spent time: 7.90554404258728
( 509  /  5000 )...... Spent time: 6.660242557525635
( 510  /  5000 )...... Spent time: 4.517235040664673
( 511  /  5000 )...... Spent time: 6.030658483505249
( 512  /  5000 )...... Spent time: 6.413259744644165
( 513  /  5000 )...... Spent time: 6.576293468475342
( 514  /  5000 )...... Spent time: 4.40596604347229
( 515  /  5000 )...... Spent time: 6.338145017623901
( 516  /  5000 )...... Spent time: 6.187798023223877
( 517  /  5000 )...... Spent time: 7.002619743347168
( 518  /  5000 )...... Spent time: 6.317922353744507
( 519  /  5000 )...... Spent time: 5.688628196716309
( 520  /  5000 )...... Spent time: 4.473907232284546
